timestamp,person_A,person_B,group_A,group_B,time_seconds,time_minutes,time_hours
32520,1467,1591,,,650400,10840.0,180.66666666666666
32560,1513,1591,,,651200,10853.333333333334,180.88888888888889
32700,1591,1467,,,654000,10900.0,181.66666666666666
32720,1591,1467,,,654400,10906.666666666666,181.77777777777777
32740,1591,1467,,,654800,10913.333333333334,181.88888888888889
32760,1591,1467,,,655200,10920.0,182.0
32820,1467,1591,,,656400,10940.0,182.33333333333334
32840,1467,1591,,,656800,10946.666666666666,182.44444444444446
32860,1467,1591,,,657200,10953.333333333334,182.55555555555554
32960,1568,1591,,,659200,10986.666666666666,183.11111111111111
32980,1568,1591,,,659600,10993.333333333334,183.22222222222223
33000,1568,1591,,,660000,11000.0,183.33333333333334
33020,1568,1591,,,660400,11006.666666666666,183.44444444444446
33080,1562,1467,,,661600,11026.666666666666,183.77777777777777
33180,1524,1562,,,663600,11060.0,184.33333333333334
33220,1524,1562,,,664400,11073.333333333334,184.55555555555554
33260,1771,1428,,,665200,11086.666666666666,184.77777777777777
33400,1600,1523,,,668000,11133.333333333334,185.55555555555554
33400,1525,1529,,,668000,11133.333333333334,185.55555555555554
33400,1600,1544,,,668000,11133.333333333334,185.55555555555554
33400,1600,1529,,,668000,11133.333333333334,185.55555555555554
33400,1600,1519,,,668000,11133.333333333334,185.55555555555554
33400,1544,1529,,,668000,11133.333333333334,185.55555555555554
33400,1544,1519,,,668000,11133.333333333334,185.55555555555554
33400,1600,1525,,,668000,11133.333333333334,185.55555555555554
33400,1600,1583,,,668000,11133.333333333334,185.55555555555554
33400,1510,1519,,,668000,11133.333333333334,185.55555555555554
33400,1544,1525,,,668000,11133.333333333334,185.55555555555554
33400,1519,1583,,,668000,11133.333333333334,185.55555555555554
33400,1519,1525,,,668000,11133.333333333334,185.55555555555554
33400,1519,1529,,,668000,11133.333333333334,185.55555555555554
33400,1549,1525,,,668000,11133.333333333334,185.55555555555554
33400,1583,1529,,,668000,11133.333333333334,185.55555555555554
33400,1510,1525,,,668000,11133.333333333334,185.55555555555554
33400,1583,1525,,,668000,11133.333333333334,185.55555555555554
33400,1553,1525,,,668000,11133.333333333334,185.55555555555554
